id;version;code;name
1;1;.;.
2;1;AAI;AAI
3;1;ACTIM;ACTIM
4;1;ACTIM;ACTIM
5;1;ACTIM;ACTIM
6;1;ACTIM;ACTIM
7;1;ACTIM;ACTIM
8;1;ACTIM;ACTIM
9;1;ACTIM;ACTIM
10;1;ACTION COMMERCIALE ANTOINE;ACTION COMMERCIALE ANTOINE
11;1;ACTION COMMERCIALE CHRISTOPHE;ACTION COMMERCIALE CHRISTOPHE
12;1;ACTION COMMERCIALE JEROME;ACTION COMMERCIALE JEROME
13;1;ACTION COMMERCIALE LOUIS DESPATURES;ACTION COMMERCIALE LOUIS DESPATURES
14;1;ACTION COMMERCIALE NICOLAS;ACTION COMMERCIALE NICOLAS
15;1;ACTION COMMERCIALE STEPHANE;ACTION COMMERCIALE STEPHANE
16;1;ACTION COMMERCIALE SYLVAIN;ACTION COMMERCIALE SYLVAIN
17;1;ACTION COMMERCIALE VINCENT;ACTION COMMERCIALE VINCENT
18;1;ACTION COMMERCIALE YANNICK BERNARD;ACTION COMMERCIALE YANNICK BERNARD
19;1;ACTION PALO - JUIN 2015;ACTION PALO - JUIN 2015
20;1;ACTION PRONAL;ACTION PRONAL
21;1;ACTION PRONAL 360;ACTION PRONAL 360
22;1;ACTION PRONAL LIFTING BAG;ACTION PRONAL LIFTING BAG
23;1;ADIPEC (ABU DHABI) 2008;ADIPEC (ABU DHABI) 2008
24;1;ADIPEC 2015;ADIPEC 2015
25;1;ADIPEC 2015;ADIPEC 2015
26;1;ADIPEC 2015 - PARTNER;ADIPEC 2015 - PARTNER
27;1;ADIPEC 2016;ADIPEC 2016
28;1;agriculture mars 2011;agriculture mars 2011
29;1;AGRICULTURE UKRAINE;AGRICULTURE UKRAINE
30;1;AIRPORT SHOW DUBAI 2013;AIRPORT SHOW DUBAI 2013
31;1;ALIBABA;ALIBABA
32;1;allemagne mai 2012;allemagne mai 2012
33;1;AMERICANA 2009;AMERICANA 2009
34;1;ARTF8;ARTF8
35;1;ASIA WATER 2016;ASIA WATER 2016
36;1;ATACHE DE DEFENSE - NOV 2014;ATACHE DE DEFENSE - NOV 2014
37;1;BARRAGE ANTI INONDATION 2013;BARRAGE ANTI INONDATION 2013
38;1;BASRA 2011;BASRA 2011
39;1;BATIMAT 2011;BATIMAT 2011
40;1;BATIMAT 2015;BATIMAT 2015
41;1;BDD PAYS NORDIQUE 2009;BDD PAYS NORDIQUE 2009
42;1;BENIN (COTONOU) 2008;BENIN (COTONOU) 2008
43;1;BLEGIQUE Février 2012;BLEGIQUE Février 2012
44;1;BOAMP;BOAMP
45;1;BTP;BTP
46;1;CARRIERES - JANV 2016;CARRIERES - JANV 2016
47;1;CARRIERES - SEPT 2015 - ELODIE;CARRIERES - SEPT 2015 - ELODIE
48;1;CASPIAN OIL & GAZ 2006;CASPIAN OIL & GAZ 2006
49;1;CASPIAN OIL&GAS;CASPIAN OIL&GAS
50;1;CHANGEMENT SECTEUR;CHANGEMENT SECTEUR
51;1;CHINA GLASS 2016;CHINA GLASS 2016
52;1;CHINA GLASS EXPO 2014;CHINA GLASS EXPO 2014
53;1;CHINE 2009;CHINE 2009
54;1;Christian Travert;Christian Travert
55;1;Cité de la Mer à Cherbourg - Projet industriel d'Alstom;Cité de la Mer à Cherbourg - Projet industriel d'Alstom
56;1;COMPOSITE MEETING 2011;COMPOSITE MEETING 2011
57;1;CWIEME 2013;CWIEME 2013
58;1;CWIEME 2014;CWIEME 2014
59;1;CWIEME 2014;CWIEME 2014
60;1;CWIEME 2015;CWIEME 2015
61;1;CWIEME 2016;CWIEME 2016
62;1;CWIEME BERLIN 2012;CWIEME BERLIN 2012
63;1;CYCLATOM 2012;CYCLATOM 2012
64;1;CYCLATOME;CYCLATOME
65;1;DEFENSE & SECURITY 2013;DEFENSE & SECURITY 2013
66;1;Defense & Security 2015;Defense & Security 2015
67;1;DEFEXPO (NEW DELHI) 2008;DEFEXPO (NEW DELHI) 2008
68;1;DENMARK April 2012;DENMARK April 2012
69;1;DEPLACEMENT JANVIER 2016;DEPLACEMENT JANVIER 2016
70;1;DEPLACEMENT MAI 2016;DEPLACEMENT MAI 2016
71;1;DEPLACEMENT MARS 2016;DEPLACEMENT MARS 2016
72;1;DEPLACEMENT NOV 2015;DEPLACEMENT NOV 2015
73;1;DEPLACEMENT REGION LYON - FEVRIER 2016;DEPLACEMENT REGION LYON - FEVRIER 2016
74;1;DEPLACEMENT REGION MARSEILLE - AVRIL 2015;DEPLACEMENT REGION MARSEILLE - AVRIL 2015
75;1;DEPLACEMENT SUD FRANCE - MARS 2016;DEPLACEMENT SUD FRANCE - MARS 2016
76;1;DEVELOPPEMENT COMMERCIAL VIVO ENERGIE;DEVELOPPEMENT COMMERCIAL VIVO ENERGIE
77;1;DIRECT INDUSTRIE;DIRECT INDUSTRIE
78;1;DIRECT INDUSTRIE;DIRECT INDUSTRIE
79;1;DIRECT INDUSTRIE;DIRECT INDUSTRIE
80;1;DIRECT INDUSTRIE (VISITEURS IDENTIFIES);DIRECT INDUSTRIE (VISITEURS IDENTIFIES)
81;1;DSA (KUALA LUMPUR) 2008;DSA (KUALA LUMPUR) 2008
82;1;DSA 2010;DSA 2010
83;1;DSA 2014;DSA 2014
84;1;DSA 2014;DSA 2014
85;1;DSA 2014;DSA 2014
86;1;DSA 2016;DSA 2016
87;1;DSA 2016 AGENT;DSA 2016 AGENT
88;1;DUBAI AIRSHOW;DUBAI AIRSHOW
89;1;DVD (MILLBROOK) 2008;DVD (MILLBROOK) 2008
90;1;EDGB2B;EDGB2B
91;1;EDGB2B;EDGB2B
92;1;EGTP;EGTP
93;1;ELECRAMA 2016;ELECRAMA 2016
94;1;ELECRAMA 2016 2;ELECRAMA 2016 2
95;1;ELECTRA MINING 2016;ELECTRA MINING 2016
96;1;ELECTRAMINING 2016;ELECTRAMINING 2016
97;1;EMAILING ANNONCE LE BOURGET;EMAILING ANNONCE LE BOURGET
98;1;EMAILING ANNONCE SITE PRONAL;EMAILING ANNONCE SITE PRONAL
99;1;EMAILING COLAS;EMAILING COLAS
100;1;EMAILING FOURNISSEUR ED;EMAILING FOURNISSEUR ED
101;1;eolien;eolien
102;1;EPTEE SHANGHAI 2010;EPTEE SHANGHAI 2010
103;1;EPUR;EPUR
104;1;espagne oct 2010;espagne oct 2010
105;1;EUROMARITIME 2013;EUROMARITIME 2013
106;1;EUROMERX;EUROMERX
107;1;EUROSATORY (PARIS) 2008;EUROSATORY (PARIS) 2008
108;1;EUROSATORY 2010;EUROSATORY 2010
109;1;EUROSATORY 2012;EUROSATORY 2012
110;1;EUROSATORY 2014;EUROSATORY 2014
111;1;EUROSATORY 2014;EUROSATORY 2014
112;1;EUROSATORY 2016;EUROSATORY 2016
113;1;EWEA 2011;EWEA 2011
114;1;EWEA 2013;EWEA 2013
115;1;EWEA 2013;EWEA 2013
116;1;EWEA 2015 DANEMARK;EWEA 2015 DANEMARK
117;1;EWEA Avril 2012;EWEA Avril 2012
118;1;EXPLOITATION CATALOGUE POLLUTEC 2014;EXPLOITATION CATALOGUE POLLUTEC 2014
119;1;EXPO BEACH FREJUS 2010;EXPO BEACH FREJUS 2010
120;1;FARNBOROUGH 2012;FARNBOROUGH 2012
121;1;FDIC 2013;FDIC 2013
122;1;FED 2011;FED 2011
123;1;FERTILISANTS - SEPT 2015 - ELODIE;FERTILISANTS - SEPT 2015 - ELODIE
124;1;FICHER DELTA FORCE;FICHER DELTA FORCE
125;1;FICHIER ADRESSE JEAN LOUIS COMTE;FICHIER ADRESSE JEAN LOUIS COMTE
126;1;FICHIER SCAR;FICHIER SCAR
127;1;FIDAE 2010;FIDAE 2010
128;1;FIDAE 2012;FIDAE 2012
129;1;FIDAE 2014;FIDAE 2014
130;1;FRTP Auvergne;FRTP Auvergne
131;1;FRUIT ATTRACTION 2014;FRUIT ATTRACTION 2014
132;1;FUTURALIA 2012;FUTURALIA 2012
133;1;GLASSTECH ASIA 2013;GLASSTECH ASIA 2013
134;1;Hannover;Hannover
135;1;HASSI MESSAOUD 2013;HASSI MESSAOUD 2013
136;1;HASSI MESSAOURD 2013;HASSI MESSAOURD 2013
137;1;HELLO PRO;HELLO PRO
138;1;HUSUM WIND ENERGY;HUSUM WIND ENERGY
139;1;HYDRAULIQUE - OCT 2015 - FRANCK;HYDRAULIQUE - OCT 2015 - FRANCK
140;1;IDET 2013;IDET 2013
141;1;IDEX;IDEX
142;1;IDEX (ABU DHABI) 2009;IDEX (ABU DHABI) 2009
143;1;IEEE 2014 - CHICAGO;IEEE 2014 - CHICAGO
144;1;IFAT (MUNICH) 2008;IFAT (MUNICH) 2008
145;1;IFAT 2014;IFAT 2014
146;1;IFAT 2014 - MUNICH;IFAT 2014 - MUNICH
147;1;INDE AERO;INDE AERO
148;1;INDO DEFENCE EXHIBITION, JAKARTA 5-8TH NOV 2014;INDO DEFENCE EXHIBITION, JAKARTA 5-8TH NOV 2014
149;1;Industrie Lyon 2015;Industrie Lyon 2015
150;1;INDUSTRIES et TECHNIQUES;INDUSTRIES et TECHNIQUES
151;1;INDUSTRIES et TECHNIQUES;INDUSTRIES et TECHNIQUES
152;1;INDUSTRIES et TECHNIQUES;INDUSTRIES et TECHNIQUES
153;1;INDUSTRIES et TECHNIQUES;INDUSTRIES et TECHNIQUES
154;1;INDUSTRIES et TECHNIQUES;INDUSTRIES et TECHNIQUES
155;1;INTER AIRPORT 2011;INTER AIRPORT 2011
156;1;INTER AIRPORT 2013;INTER AIRPORT 2013
157;1;INTER AIRPORT 2013;INTER AIRPORT 2013
158;1;INTERMAT 2015;INTERMAT 2015
159;1;INTERSPILL 2009;INTERSPILL 2009
160;1;IRAN OIL 2016;IRAN OIL 2016
161;1;IRAN OIL SHOW 2014;IRAN OIL SHOW 2014
162;1;JOHN ANDERSON;JOHN ANDERSON
163;1;JOHN ANDERSON;JOHN ANDERSON
164;1;JOSE ARIAS;JOSE ARIAS
165;1;LA CIOTAT 2010;LA CIOTAT 2010
166;1;LAAD (RIO);LAAD (RIO)
167;1;LE BOURGET;LE BOURGET
168;1;LE BOURGET 2009;LE BOURGET 2009
169;1;LE BOURGET 2011;LE BOURGET 2011
