id;version;code;name
1;1;CFR COUT ET FRET;CFR COUT ET FRET
2;1;CFR BANGKOK;CFR BANGKOK
3;1;CIF COUT, ASSURANCE ET FRET;CIF COUT, ASSURANCE ET FRET
4;1;CIP PORT PAYE, ASSURANCE COMPRISE, JUSQU'A;CIP PORT PAYE, ASSURANCE COMPRISE, JUSQU'A
5;1;CPT PORT PAYE JUSQU'A;CPT PORT PAYE JUSQU'A
6;1;CPT PORT PAYE JUSQU'A BANGKOK;CPT PORT PAYE JUSQU'A BANGKOK
7;1;DAF RENDU FRONTIERE;DAF RENDU FRONTIERE
8;1;DDP RENDU DROITS ACQUITTES;DDP RENDU DROITS ACQUITTES
9;1;DDU RENDU DROITS NON ACQUITTES;DDU RENDU DROITS NON ACQUITTES
10;1;DEQ RENDU A QUAI;DEQ RENDU A QUAI
11;1;DES RENDU EX SHIP;DES RENDU EX SHIP
12;1;ENLEVEMENT CLIENT / EXW;ENLEVEMENT CLIENT / EXW
13;1;ENLEVEMENT PERSONNEL PRONAL;ENLEVEMENT PERSONNEL PRONAL
14;1;EXW A L'USINE LEERS FRANCE;EXW A L'USINE LEERS FRANCE
15;1;EXW TRANSPORT PAR NOS SOINS;EXW TRANSPORT PAR NOS SOINS
16;1;EXW SELANGOR MALAYSIA;EXW SELANGOR MALAYSIA
17;1;FAS FRANCO LE LONG DU NAVIRE;FAS FRANCO LE LONG DU NAVIRE
18;1;FCA A L'USINE;FCA A L'USINE
19;1;FCA FRANCO TRANSPORTEUR;FCA FRANCO TRANSPORTEUR
20;1;FOB FRANCO BOARD;FOB FRANCO BOARD
21;1;FOB NINGBO;FOB NINGBO
22;1;FOB PORT KLANG;FOB PORT KLANG
23;1;FRANCO DOMICILE;FRANCO DOMICILE
24;1;PORT AVANCE;PORT AVANCE
