id;version;code;name
1;1;Compensateur;Compensateur
2;1;Composite;Composite
3;1;Etude;Etude
4;1;Membrane Auto;Membrane Auto
5;1;Négoce non affecté;Négoce non affecté
6;1;Obturateur;Obturateur
7;1;Palettiseur;Palettiseur
8;1;Poche de Verre;Poche de Verre
9;1;Reservoir Aero & Auto;Reservoir Aero & Auto
10;1;Reservoirs;Reservoirs
11;1;Separateur;Separateur
12;1;Service SAV;Service SAV
13;1;Structure Flexible;Structure Flexible
14;1;Tissus, colle, réparation, sous traitance, divers;Tissus, colle, réparation, sous traitance, divers
15;1;Vérin;Vérin
