id;version;code;name
1;1;ACCDIV;ACCDIV
2;1;ACC_BRID;ACC_BRID
3;1;ACC_DIV;ACC_DIV
4;1;ACC_TUB;ACC_TUB
5;1;ACC_UNI;ACC_UNI
6;1;ACCBRID;ACCBRID
7;1;ACCDIV;ACCDIV
8;1;ACCDOCU;ACCDOCU
9;1;ACCINSE;ACCINSE
10;1;ACCSSA;ACCSSA
11;1;ACCTUB;ACCTUB
12;1;ACHAT;ACHAT
13;1;ACHATS BOIS;ACHATS BOIS
14;1;ACHATS D'ENTRETIEN;ACHATS D'ENTRETIEN
15;1;ACHATS EQUIP.SECUR.;ACHATS EQUIP.SECUR.
16;1;ACHATS MATERIEL ELEC;ACHATS MATERIEL ELEC
17;1;ACHATS METALLIQUES;ACHATS METALLIQUES
18;1;ACHATS PEINTURE;ACHATS PEINTURE
19;1;ACHATS PETIT OUTIL.;ACHATS PETIT OUTIL.
20;1;ACHATS PRODUIT CHAUD;ACHATS PRODUIT CHAUD
21;1;ACHATS PRODUIT PETRO;ACHATS PRODUIT PETRO
22;1;ACHATS PRODUIT SOUDU;ACHATS PRODUIT SOUDU
23;1;ACNS;ACNS
24;1;ALICLP;ALICLP
25;1;ALIOBT;ALIOBT
26;1;ALIVER;ALIVER
27;1;ANTICOLL;ANTICOLL
28;1;ARMPAL;ARMPAL
29;1;AS;AS
30;1;AST;AST
31;1;AUTO NR;AUTO NR
32;1;AUTOAEM;AUTOAEM
33;1;AUTOCR;AUTOCR
34;1;AUTOCSM;AUTOCSM
35;1;AUTODEMOUL;AUTODEMOUL
36;1;AUTOEPDM;AUTOEPDM
37;1;AUTOEPOXY;AUTOEPOXY
38;1;AUTOIIR;AUTOIIR
39;1;AUTONBR;AUTONBR
40;1;AUTONBRHT;AUTONBRHT
41;1;AUTONPERO;AUTONPERO
42;1;AUTONPVC;AUTONPVC
43;1;AUTOPHENOLIQUE;AUTOPHENOLIQUE
44;1;AUTOPTFE;AUTOPTFE
45;1;AUTOSBR;AUTOSBR
46;1;AUTOSI;AUTOSI
47;1;BACPVC;BACPVC
48;1;BAOPVC;BAOPVC
49;1;BARNITEAU;BARNITEAU
50;1;BARPVC;BARPVC
51;1;BARRAG;BARRAG
52;1;BOIT;BOIT
53;1;BOUC;BOUC
54;1;BOUNIT;BOUNIT
55;1;BOUT;BOUT
56;1;BRID;BRID
57;1;BRIDVER;BRIDVER
58;1;CBPNIT;CBPNIT
59;1;CLPNIT;CLPNIT
60;1;COLLAEM;COLLAEM
61;1;COLLCR;COLLCR
62;1;COLLCSM;COLLCSM
63;1;COLLFKM;COLLFKM
64;1;COLLNBR;COLLNBR
65;1;COLLNPVC;COLLNPVC
66;1;COLLPE;COLLPE
67;1;COLLSI;COLLSI
68;1;COMNIT;COMNIT
69;1;COMPPUMGI;COMPPUMGI
70;1;COMPU;COMPU
71;1;COMPUH;COMPUH
72;1;COMPUINDU;COMPUINDU
73;1;COMPUP;COMPUP
74;1;CONNIT;CONNIT
75;1;CONTROLE;CONTROLE
76;1;COUP;COUP
77;1;DIANIT;DIANIT
78;1;DOC;DOC
79;1;DOCRES;DOCRES
80;1;DOCU;DOCU
81;1;DPANIT0;DPANIT0
82;1;DPM_COUS;DPM_COUS
83;1;DPM_DEF;DPM_DEF
84;1;DPM_FLOT;DPM_FLOT
85;1;DPM_PSM;DPM_PSM
86;1;DPMBAR;DPMBAR
87;1;DPMCHAM;DPMCHAM
88;1;DPMCOUS;DPMCOUS
89;1;DPMDEF;DPMDEF
90;1;DPMEQUI;DPMEQUI
91;1;DPMFLOT;DPMFLOT
92;1;DPMMANC;DPMMANC
93;1;DPMPSM;DPMPSM
94;1;DRUNITHYD;DRUNITHYD
95;1;ELECTRODE;ELECTRODE
96;1;EMBA;EMBA
97;1;ENTRETIEN;ENTRETIEN
98;1;ETU;ETU
99;1;ETUDE;ETUDE
100;1;EXPEDITION;EXPEDITION
101;1;FIRNIT;FIRNIT
102;1;FIXA;FIXA
103;1;FIXARES;FIXARES
104;1;FLEX;FLEX
105;1;FORME;FORME
106;1;FORNIT;FORNIT
107;1;FORPU;FORPU
108;1;GRPNIT;GRPNIT
109;1;HELNITHYD;HELNITHYD
110;1;HF;HF
111;1;HOURES;HOURES
112;1;IMMOAUTR;IMMOAUTR
113;1;IMMOPROD;IMMOPROD
114;1;INDIRECT;INDIRECT
115;1;INFORMATIQUE;INFORMATIQUE
116;1;INGR;INGR
117;1;INSE;INSE
118;1;INTERCAL;INTERCAL
119;1;JNTNIT;JNTNIT
120;1;JNTPU;JNTPU
121;1;JOIN;JOIN
122;1;JOINVER;JOINVER
123;1;LEVAOBT;LEVAOBT
124;1;MANO;MANO
125;1;MANPU;MANPU
126;1;MARQ;MARQ
127;1;MATCOMP;MATCOMP
128;1;MATDIV;MATDIV
129;1;MATFEUI;MATFEUI
130;1;MATINT;MATINT
131;1;MATPC;MATPC
132;1;MDRNIT;MDRNIT
133;1;MEM_DIV;MEM_DIV
134;1;MEMCONS;MEMCONS
135;1;MEMDIV;MEMDIV
136;1;MEMPU;MEMPU
137;1;MESURE;MESURE
138;1;MOULAGE;MOULAGE
139;1;MOULE;MOULE
140;1;MOUSSECR;MOUSSECR
141;1;MOUSSENR;MOUSSENR
142;1;MOUSSEPE;MOUSSEPE
143;1;MOUSSEPOLYETHER;MOUSSEPOLYETHER
144;1;MOUSSEPVC;MOUSSEPVC
145;1;MOUSSESI;MOUSSESI
146;1;NEGO;NEGO
147;1;OBT_CYL;OBT_CYL
148;1;OBT_FORM;OBT_FORM
149;1;OBT_PLAT;OBT_PLAT
150;1;OBTCYL;OBTCYL
151;1;OBTFORM;OBTFORM
152;1;OBTNEO;OBTNEO
153;1;OBTNIT;OBTNIT
154;1;OBTPLAT;OBTPLAT
155;1;OFRNIT;OFRNIT
156;1;OHPNIT;OHPNIT
157;1;OR NEO;OR NEO
158;1;ORDO;ORDO
159;1;ORJNIT;ORJNIT
160;1;ORJNITTRV;ORJNITTRV
161;1;ORSNIT;ORSNIT
162;1;ORSPU;ORSPU
163;1;OUTCONF;OUTCONF
164;1;OUTCONT;OUTCONT
165;1;OUTDECO;OUTDECO
166;1;OUTHF;OUTHF
167;1;OUTI;OUTI
168;1;OUTICOMP;OUTICOMP
169;1;OUTILLAGE;OUTILLAGE
170;1;OUTILLAGE ATELIERS;OUTILLAGE ATELIERS
171;1;OUTILLAGE DE VULCAN.;OUTILLAGE DE VULCAN.
172;1;OUTILLAGE ELECTRIQUE;OUTILLAGE ELECTRIQUE
